Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-113.0975	-376.7959	263.6984	2.527492	2.175737	0.04479337	0.589034	0.410966	1.071361
6	-103.0733	-367.4271	264.3538	2.31635	1.640903	0.04479337	0.629693	0.370307	0.9555238
12	-106.9184	-371.2398	264.3215	2.199148	0.9708813	0.04358424	0.533917	0.466083	1.554211
18	-111.8826	-374.7312	262.8486	2.04734	5.277558	0.02881087	0.297642	0.702358	1.286995
24	-94.39667	-357.4967	263.1	2.023812	3.011366	0.03300476	0.516698	0.483302	1.672779
30	-90.34529	-352.7298	262.3845	1.61532	1.852167	0.09152987	0.710043	0.289957	2.61291
36	-89.16694	-351.9849	262.8179	1.541185	1.852167	0.09258306	0.520656	0.479344	2.385388
42	-82.73737	-346.2591	263.5217	1.675657	0.6268469	0.1677681	0.693517	0.306483	2.37299
48	-85.88043	-350.3921	264.5117	2.225604	0.7154678	0.147703	0.836735	0.163265	1.26211
54	-90.49376	-355.5605	265.0668	2.095834	0.6273815	0.1532848	0.809707	0.190293	0.9641459
60	-92.74484	-357.0088	264.2639	2.378045	0.9857686	0.1532848	0.753374	0.246626	1.059004
66	-110.9096	-375.3111	264.4015	2.156728	0.9857686	0.1532848	0.859782	0.140218	1.135956
72	-110.802	-375.9186	265.1165	2.187782	0.4100068	0.1532848	0.611827	0.388173	1.164108
78	-109.9558	-375.2012	265.2453	2.027688	0.3997964	0.1683287	0.365119	0.634881	1.164108
84	-110.3624	-375.8153	265.4528	2.166142	0.3997964	0.1135506	0.808131	0.191869	1.028831
90	-112.9588	-377.7004	264.7416	2.541783	0.5999951	0.1263894	0.742949	0.257051	0.9808593
96	-115.1326	-379.6347	264.5021	2.64512	0.4867399	0.2825063	0.73956	0.26044	0.8022958
102	-116.347	-381.007	264.6599	2.662352	0.4867399	0.212551	0.587769	0.412231	0.8146758
108	-110.834	-375.2557	264.4217	2.498802	0.7355236	0.212551	0.816002	0.183998	0.8665005
114	-101.2461	-366.2807	265.0346	2.283131	0.7355236	0.115462	0.321434	0.678566	0.7772018
120	-100.8074	-365.704	264.8966	2.176632	0.5782588	0.2757333	0.471637	0.528363	0.7230866
126	-90.81446	-355.0542	264.2397	2.518301	0.6683256	0.3783817	0.617169	0.382831	0.65057
132	-95.31718	-359.9914	264.6742	2.606622	0.6604208	0.1843659	0.723634	0.276366	0.4497899
138	-92.74631	-357.8574	265.1111	2.571224	0.467762	0.1514654	0.609941	0.390059	0.5607767
144	-95.46108	-360.5062	265.0451	2.5671	0.5568845	0.1325759	0.831503	0.168497	0.5008999
150	-95.72589	-360.7253	264.9994	2.79904	0.4327198	0.1325759	0.479325	0.520675	0.4039899
